sep=;
"Time";"CPU_USAGE (%)";"MEMORY_USAGE (MB)";"IOPs_Disk_write ";"IOPs_Disk_read";"TX_total (kbps)";"TX_error (kbps)";"RX_total (kbps)";"RX_error (kbps)"
"2019-04-25T00:00:00+07:00";131.42661018926157;984.336;5.537656060882814;0.020531563785052803;4747.255987484192;0;4479.3290560361;0
"2019-04-25T00:01:00+07:00";131.62517482517484;985.992;5.538534435804197;0.020531558041958043;4751.938251188812;0;4487.62148027972;0
"2019-04-25T00:02:00+07:00";132.77762237762238;974.708;5.645005229650351;0.020531558041958043;4815.828032447554;0;4551.898633846155;0
"2019-04-25T00:03:00+07:00";133.27272727272728;974.192;5.658790704335665;0.020531558041958043;4858.45021986014;0;4595.0661818181825;0
"2019-04-25T00:04:00+07:00";133.8993006993007;977.788;5.736810624895105;0.015545322517482519;4882.461981538462;0;4622.746864335664;0
"2019-04-25T00:05:00+07:00";134.7020979020979;981.468;5.829495944055945;0.23200660587412592;4907.235334265734;0;4646.626056503497;0
"2019-04-25T00:06:00+07:00";135.12167832167833;980.7;5.891090618181819;0.23200660587412592;4914.350220979021;0;4650.688440839162;0
"2019-04-25T00:07:00+07:00";135.86013986013987;983.868;5.940366357482518;0.23200660587412592;4912.2573493706295;0;4645.3470008391605;0
"2019-04-25T00:08:00+07:00";136.56503496503498;979.284;6.002547647552447;0.23200660587412592;4925.006890069931;0;4656.769022657343;0
"2019-04-25T00:09:00+07:00";136.84755244755246;982.288;6.047130459300701;0.23200660587412592;4927.299931748253;0;4658.262084475525;0
"2019-04-25T00:10:00+07:00";137.7762237762238;981.484;6.145681937902099;0.23200660587412592;4949.265447832168;0;4680.364428531469;0
"2019-04-25T00:11:00+07:00";138.4699300699301;981.26;6.155067793006994;0.22291405874125875;4964.781650349651;0;4697.3441946853145;0
"2019-04-25T00:12:00+07:00";139.0993006993007;983.436;6.237780641118881;0.22291405874125875;4982.242116923077;0;4719.707356643357;0
"2019-04-25T00:13:00+07:00";139.7146853146853;977.492;6.298202083356644;0.22291405874125875;5003.35946965035;0;4741.7404240559445;0
"2019-04-25T00:14:00+07:00";140.18181818181822;979.18;6.316387177622379;0.22291405874125875;5018.169582097902;0;4756.812211468532;0
"2019-04-25T00:15:00+07:00";140.61538461538464;980.172;6.347771130629371;0.22291405874125875;5032.351666573427;0;4773.784443076924;0
"2019-04-25T00:16:00+07:00";140.86993006993006;980.908;6.387367706853147;0.22291405874125875;5053.01596867133;0;4795.75078041958;0
"2019-04-25T00:17:00+07:00";141.25034965034968;977.68;6.419338275804196;0.22291405874125875;5059.263594965035;0;4808.406187412587;0
"2019-04-25T00:18:00+07:00";141.51888111888113;975.9;6.459521467972028;0.24608538853146855;5049.7728067132875;0;4800.211251468531;0
"2019-04-25T00:19:00+07:00";141.63076923076926;975.936;6.459228160000001;0.2501917001398602;5035.456257342657;0;4787.88887944056;0
"2019-04-25T00:20:00+07:00";142.35804195804195;977.48;6.574791500979022;0.2501917001398602;5043.940972307692;0;4797.056261818183;0
"2019-04-25T00:21:00+07:00";142.71888111888111;980.356;6.585643895944057;0.2501917001398602;5058.518534265734;0;4810.515511048952;0
"2019-04-25T00:22:00+07:00";143.093626241328;986.544;6.614970992463781;0.25019156017255373;5045.429468291206;0;4795.627679089411;0
"2019-04-25T00:23:00+07:00";143.43776223776226;969.548;6.632279863496504;0.2501917001398602;5043.582751328671;0;4797.852403916084;0
"2019-04-25T00:24:00+07:00";143.83776223776226;975.044;6.652811421538462;0.2501917001398602;5059.535872447553;0;4815.654158321679;0
"2019-04-25T00:25:00+07:00";144.0027972027972;980.796;6.651051573706295;0.2501917001398602;5074.458327272727;0;4836.446538741259;0
"2019-04-25T00:26:00+07:00";144.2909090909091;966.364;6.623773932307692;0.24960508419580424;5091.552458741259;0;4856.113472447552;0
"2019-04-25T00:27:00+07:00";144.60091322770384;976.328;6.597354069860465;0.2496042463633688;5114.773522438526;0;4885.138231703839;0
"2019-04-25T00:28:00+07:00";144.79440559440562;981.032;6.560712718321679;0.24960508419580424;5130.625183776224;0;4903.591330909091;0
"2019-04-25T00:29:00+07:00";144.85034965034967;983.408;6.582124200279721;0.24960508419580424;5130.590731188811;0;4904.6584593007;0
"2019-04-25T00:30:00+07:00";144.8867132867133;981.856;6.523462605874125;0.24960508419580424;5114.622547692308;0;4878.423785174825;0
"2019-04-25T00:31:00+07:00";144.31888111888114;982.764;6.457175004195805;0.24960508419580424;5070.544780979021;0;4832.327427132867;0
"2019-04-25T00:32:00+07:00";144.49218644012328;965.336;6.413173426707615;0.24960487473716805;5068.115738084695;0;4829.759030691723;0
"2019-04-25T00:33:00+07:00";144.7804195804196;968.128;6.441336373706294;0.24960508419580424;5077.278135944055;0;4838.165907692309;0
"2019-04-25T00:34:00+07:00";145.32867132867133;968.996;6.451895460699302;0.24960508419580424;5102.259244755245;0;4864.3992100699315;0
"2019-04-25T00:35:00+07:00";145.9692307692308;970.46;6.4568816962237765;0.24960508419580424;5143.687791888112;0;4903.013081958042;0
"2019-04-25T00:36:00+07:00";146.42237762237764;974.032;6.471253786853147;0.24960508419580424;5180.020625454545;0;4937.293370629372;0
"2019-04-25T00:37:00+07:00";147.1020979020979;984.136;6.480053026013987;0.24960508419580424;5239.345226293706;0;4996.527744895106;0
"2019-04-25T00:38:00+07:00";147.4741258741259;969.932;6.509970439160839;0.24960508419580424;5273.731951888111;0;5029.5999127272735;0
"2019-04-25T00:39:00+07:00";148.0671328671329;976.904;6.528155533426575;0.24960508419580424;5306.62570965035;0;5060.691660979021;0
"2019-04-25T00:40:00+07:00";149.0769230769231;981.628;6.5504469393007;0.24960508419580424;5365.1588050349665;0;5122.800248391609;0
"2019-04-25T00:41:00+07:00";149.26433566433568;987.604;6.548393783496504;0.24960508419580424;5378.171851188811;0;5138.028576223776;0
"2019-04-25T00:42:00+07:00";149.80365106364647;964.256;6.570661296056826;0.25048409726062537;5403.158444458804;0;5165.217453474994;0
"2019-04-25T00:43:00+07:00";149.9048951048951;962.94;6.536954772587413;0.2504850081118881;5426.472874965036;0;5191.36194909091;0
"2019-04-25T00:44:00+07:00";149.99720279720282;963.408;6.54898039944056;0.2504850081118881;5448.632277482518;0;5214.285332587413;0
"2019-04-25T00:45:00+07:00";149.86853146853147;963.876;6.495011732587413;0.2507783160839161;5464.621784615385;0;5230.41619020979;0
"2019-04-25T00:46:00+07:00";149.81513317739885;963.988;6.434579491055399;0.2507778951979381;5478.090569917925;0;5243.449294350835;0
"2019-04-25T00:47:00+07:00";149.94965034965037;951.592;6.40291302937063;0.2507783160839161;5495.327487552448;0;5256.59707972028;0
"2019-04-25T00:48:00+07:00";150.0727272727273;955.208;6.355690445874127;0.2507783160839161;5495.685554125875;0;5256.948081678322;0
"2019-04-25T00:49:00+07:00";150.41644662053906;958.488;6.323999033288877;0.25077775490292614;5517.11322156482;0;5277.851889562206;0
"2019-04-25T00:50:00+07:00";150.46153846153848;964.748;6.233087713566435;0.2507783160839161;5552.484795524476;0;5314.935993286714;0
"2019-04-25T00:51:00+07:00";150.8839160839161;967.08;6.243646800559442;0.2507783160839161;5590.199400279721;0;5351.577774545454;0
"2019-04-25T00:52:00+07:00";150.9818181818182;963.9;6.277670525314686;0.25664447552447556;5598.260535944056;0;5351.7840559440565;0
"2019-04-25T00:53:00+07:00";151.34825174825176;965.92;6.284123300699302;0.25664447552447556;5607.651126153846;0;5362.528561678322;0
"2019-04-25T00:54:00+07:00";151.62797202797205;966.036;6.308761170349651;0.25664447552447556;5611.235137342657;0;5367.116495664336;0
"2019-04-25T00:55:00+07:00";151.7958041958042;962.616;6.356277061818182;0.25664447552447556;5617.221806993008;0;5376.351203356643;0
"2019-04-25T00:56:00+07:00";151.84335664335669;961.908;6.326359648671329;0.25664447552447556;5623.481642517483;0;5380.024577342658;0
"2019-04-25T00:57:00+07:00";152.14545454545458;967.908;6.364782993006993;0.25693778349650354;5631.706667412588;0;5381.607856783217;0
"2019-04-25T00:58:00+07:00";152.18181818181822;969.52;6.382968087272728;0.25693778349650354;5629.355994405595;0;5381.1962271328675;0
"2019-04-25T00:59:00+07:00";151.86293706293705;969.368;6.38414131916084;0.25693778349650354;5607.084739580419;0;5358.092710489511;0
"2019-04-25T01:00:00+07:00";151.73986013986016;971.252;6.383554703216784;0.25693778349650354;5595.891114965035;0;5347.038966153847;0
"2019-04-25T01:01:00+07:00";151.32867132867133;976.512;6.364489685034966;0.2663236386013986;5575.308359160839;0;5326.553687272727;0
"2019-04-25T01:02:00+07:00";150.6797202797203;978.608;6.357743601678323;0.2663236386013986;5499.785821538462;0;5255.205334825176;0
"2019-04-25T01:03:00+07:00";150.4559440559441;972.564;6.31316078993007;0.2663236386013986;5469.987164195805;0;5226.726527552448;0
"2019-04-25T01:04:00+07:00";150.3692307692308;971.528;6.34513135888112;0.05015566321678322;5454.456145454546;0;5214.178611468532;0
"2019-04-25T01:05:00+07:00";149.73706293706294;968.152;6.302308394965035;0.04986235524475525;5396.524314405595;0;5161.469777902098;0
"2019-04-25T01:06:00+07:00";149.5888111888112;972.588;6.296735543496504;0.04986235524475525;5384.729685034966;0;5155.687820979021;0
"2019-04-25T01:07:00+07:00";148.94825174825175;966.436;6.292042615944057;0.04986235524475525;5363.242486153847;0;5139.659114965036;0
"2019-04-25T01:08:00+07:00";148.49510489510493;966.04;6.2720976738461545;0.04986235524475525;5346.684392727274;0;5124.574838601399;0
"2019-04-25T01:09:00+07:00";148.15104895104898;964.464;6.256552351328672;0.04986235524475525;5325.102822937064;0;5107.026116923078;0
"2019-04-25T01:10:00+07:00";147.50489510489513;967.268;6.203170300419581;0.04986235524475525;5291.339878041958;0;5076.7431004195805;0
"2019-04-25T01:11:00+07:00";147.50489510489513;966.044;6.247753112167834;0.04986235524475525;5290.176425174825;0;5075.137344895106;0
"2019-04-25T01:12:00+07:00";146.79440559440562;959.568;6.200237220699301;0.04986235524475525;5255.054035244756;0;5038.542006153846;0
"2019-04-25T01:13:00+07:00";146.4671328671329;961.348;6.14128231832168;0.04986235524475525;5264.51338965035;0;5049.025071888112;0
"2019-04-25T01:14:00+07:00";146.4979020979021;964.86;6.151841405314686;0.04986235524475525;5276.493341538462;0;5058.729022657343;0
"2019-04-25T01:15:00+07:00";146.4783216783217;969.708;6.1222173001398605;0.04986235524475525;5303.003781818182;0;5068.254811748252;0
"2019-04-25T01:16:00+07:00";146.24335664335663;969.92;6.14832170965035;0.05074227916083916;5310.009944615385;0;5072.005764475524;0
"2019-04-25T01:17:00+07:00";146.25734265734266;966.416;6.116351140699301;0.051035587132867134;5333.878173986014;0;5090.851161958042;0
"2019-04-25T01:18:00+07:00";145.9888111888112;966.32;6.08027426013986;0.059541518321678324;5340.055154125875;0;5095.366254545455;0
"2019-04-25T01:19:00+07:00";145.83776223776226;967.9;6.111658213146854;0.05543520671328672;5347.384964475525;0;5100.614220979021;0
"2019-04-25T01:20:00+07:00";145.84055944055947;973.244;6.053289926713288;0.05543520671328672;5349.2870869930075;0;5103.846247832168;0
"2019-04-25T01:21:00+07:00";145.86610148109463;976.052;6.083515962977249;0.05543534627080181;5345.693153353393;0;5101.228309665675;0
"2019-04-25T01:22:00+07:00";145.4685314685315;983.252;6.117231064615385;0.05543520671328672;5338.108021258741;0;5094.984702657343;0
"2019-04-25T01:23:00+07:00";145.44055944055947;983.884;6.1154712167832175;0.05543520671328672;5344.238534265734;0;5101.910657342657;0
"2019-04-25T01:24:00+07:00";145.11888111888112;982.236;6.055636390489512;0.05543520671328672;5340.864055944056;0;5096.341768951049;0
"2019-04-25T01:25:00+07:00";145.3566433566434;981.844;6.107845209510489;0.05543520671328672;5345.482694265735;0;5101.835777342658;0
"2019-04-25T01:26:00+07:00";144.8;986.38;6.172666271328672;0.05543520671328672;5322.049127832168;0;5081.707097062937;0
"2019-04-25T01:27:00+07:00";144.85034965034967;983.228;6.17706589090909;0.05543520671328672;5296.880366993008;0;5059.264673566434;0
"2019-04-25T01:28:00+07:00";144.81958041958043;982.54;6.245993264335665;0.05543520671328672;5283.247091468533;0;5047.757498181819;0
"2019-04-25T01:29:00+07:00";144.96783216783217;986.824;6.302895010909091;0.05543520671328672;5269.37785958042;0;5035.753888671329;0
"2019-04-25T01:30:00+07:00";144.75804195804196;967.2;6.359796757482519;0.05543520671328672;5240.7702534265745;0;5011.648284195805;0
"2019-04-25T01:31:00+07:00";145.05742380834897;965.632;6.421101715861099;0.05543523772600712;5246.131892661199;0;5019.279256659724;0
"2019-04-25T01:32:00+07:00";144.9596433002004;966.54;6.471849454334901;0.05543528424515279;5230.15996833562;0;5006.0629388292855;0
"2019-04-25T01:33:00+07:00";144.95149495564883;969.564;6.468340609719359;0.05543537728367836;5221.825857366275;0;4999.4102202831955;0
"2019-04-25T01:34:00+07:00";144.6994221253892;968.3;6.5164286828772156;0.05543525323238033;5205.340565041033;0;4984.676364203942;0
"2019-04-25T01:35:00+07:00";144.03076923076924;968.82;6.51994291020979;0.05543520671328672;5178.646138181819;0;4961.793447832168;0
"2019-04-25T01:36:00+07:00";143.73430593966597;968.98;6.484161151373748;0.055435222219642574;5168.897184027182;0;4954.546477915098;0
"2019-04-25T01:37:00+07:00";142.94545454545457;969.192;6.474773482517483;0.05543520671328672;5147.708820139861;0;4919.85308867133;0
"2019-04-25T01:38:00+07:00";142.73286713286714;970.576;6.4483757650349665;0.05543520671328672;5134.566854265735;0;4908.217174825176;0
"2019-04-25T01:39:00+07:00";142.36643356643359;973.972;6.458641544055945;0.0651143697902098;5112.805361678323;0;4885.43586909091;0
"2019-04-25T01:40:00+07:00";142.03916083916084;975.46;6.435176906293707;0.0651143697902098;5104.689528391609;0;4874.490698741259;0
"2019-04-25T01:41:00+07:00";141.88531468531468;971.396;6.429897362797203;0.0651143697902098;5073.222050909091;0;4848.838301538462;0
"2019-04-25T01:42:00+07:00";141.46868975517734;971.984;6.473020877226155;0.06423451774491495;4993.213586812404;0;4775.362275090657;0
"2019-04-25T01:43:00+07:00";141.5888111888112;975.36;6.481812873846154;0.06423444587412588;4949.26562909091;0;4736.669419860141;0
"2019-04-25T01:44:00+07:00";141.26433566433568;973.852;6.504104279720281;0.0639411379020979;4896.147851188812;0;4687.236739580419;0
"2019-04-25T01:45:00+07:00";141.63356643356644;966.124;6.564525721958043;0.0639411379020979;4871.262337342657;0;4667.618137062937;0
"2019-04-25T01:46:00+07:00";141.8993006993007;980.116;6.595616366993007;0.0639411379020979;4860.957169230769;0;4665.782357482518;0
"2019-04-25T01:47:00+07:00";142.38041958041958;965.448;6.656624425174826;0.0639411379020979;4850.815051188812;0;4670.536020139861;0
"2019-04-25T01:48:00+07:00";142.26573426573427;975.152;6.68654183832168;0.06804744951048952;4824.9297230769225;0;4649.192507972028;0
"2019-04-25T01:49:00+07:00";142.04755244755245;970.888;6.736990809510491;0.06804744951048952;4774.3018942657345;0;4600.954721118881;0
"2019-04-25T01:50:00+07:00";141.89370629370632;961.296;6.760748755244756;0.06804744951048952;4697.612412867134;0;4532.555683356643;0
"2019-04-25T01:51:00+07:00";141.86573426573426;963.7;6.779520465454547;0.06276790601398602;4654.808378181819;0;4498.830787132868;0
