sep=;
"Time";"CPU_USAGE (%)";"MEMORY_USAGE (MB)";"IOPs_Disk_write ";"IOPs_Disk_read";"TX_total (kbps)";"TX_error (kbps)";"RX_total (kbps)";"RX_error (kbps)"
"2019-04-25T00:00:00+07:00";1.3426577182259352;415.304;0.0061594691355158415;0;0;0;0;0
"2019-04-25T00:01:00+07:00";1.3482517482517482;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:02:00+07:00";1.3482517482517482;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:03:00+07:00";1.3510489510489512;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:04:00+07:00";1.353846153846154;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:05:00+07:00";1.3594405594405599;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:06:00+07:00";1.3594405594405599;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:07:00+07:00";1.3622377622377624;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:08:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:09:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:10:00+07:00";1.3706293706293708;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:11:00+07:00";1.3734265734265736;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:12:00+07:00";1.3762237762237763;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:13:00+07:00";1.3818181818181818;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:14:00+07:00";1.3846153846153846;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:15:00+07:00";1.3874125874125876;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:16:00+07:00";1.393006993006993;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:17:00+07:00";1.393006993006993;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:18:00+07:00";1.395804195804196;415.304;0.0029330797202797203;0;0;0;0;0
"2019-04-25T00:19:00+07:00";1.395804195804196;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:20:00+07:00";1.4013986013986015;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:21:00+07:00";1.4013986013986015;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:22:00+07:00";1.4069922198644924;415.304;0.0061594639667334455;0;0;0;0;0
"2019-04-25T00:23:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:24:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:25:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:26:00+07:00";1.4125874125874127;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:27:00+07:00";1.4125826710511742;415.304;0.0061594467375214405;0;0;0;0;0
"2019-04-25T00:28:00+07:00";1.4153846153846157;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:29:00+07:00";1.4125874125874127;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:30:00+07:00";1.4181818181818182;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:31:00+07:00";1.4125874125874127;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:32:00+07:00";1.4125862272003689;415.304;0.006159462243807908;0;0;0;0;0
"2019-04-25T00:33:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:34:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:35:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:36:00+07:00";1.40979020979021;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:37:00+07:00";1.4125874125874127;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:38:00+07:00";1.4069930069930072;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:39:00+07:00";1.4041958041958043;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:40:00+07:00";1.4041958041958043;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:41:00+07:00";1.4041958041958043;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:42:00+07:00";1.3985963127966246;415.304;0.006159445014605541;0;0;0;0;0
"2019-04-25T00:43:00+07:00";1.3986013986013988;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:44:00+07:00";1.3986013986013988;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:45:00+07:00";1.395804195804196;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:46:00+07:00";1.395801853199687;415.304;0.0061594570750370765;0;0;0;0;0
"2019-04-25T00:47:00+07:00";1.395804195804196;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:48:00+07:00";1.393006993006993;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:49:00+07:00";1.3958010723332648;415.304;0.006159453629194677;0;0;0;0;0
"2019-04-25T00:50:00+07:00";1.393006993006993;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:51:00+07:00";1.3874125874125876;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:52:00+07:00";1.3846153846153846;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:53:00+07:00";1.3902097902097905;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:54:00+07:00";1.3846153846153846;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:55:00+07:00";1.3818181818181818;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:56:00+07:00";1.3790209790209793;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:57:00+07:00";1.3762237762237763;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:58:00+07:00";1.3790209790209793;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:59:00+07:00";1.3790209790209793;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:00:00+07:00";1.3734265734265736;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:01:00+07:00";1.3734265734265736;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:02:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:03:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:04:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:05:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:06:00+07:00";1.367832167832168;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:07:00+07:00";1.3622377622377624;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:08:00+07:00";1.3594405594405599;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:09:00+07:00";1.353846153846154;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:10:00+07:00";1.3510489510489512;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:11:00+07:00";1.353846153846154;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:12:00+07:00";1.353846153846154;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:13:00+07:00";1.356643356643357;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:14:00+07:00";1.3594405594405599;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:15:00+07:00";1.3650349650349651;415.304;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:16:00+07:00";1.3594405594405599;415.304;0.006159467412587413;0;0;0;0;0
