sep=;
"Time";"CPU_USAGE (%)";"MEMORY_USAGE (MB)";"IOPs_Disk_write ";"IOPs_Disk_read";"TX_total (kbps)";"TX_error (kbps)";"RX_total (kbps)";"RX_error (kbps)"
"2019-04-25T00:00:00+07:00";1.8769230769230767;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:01:00+07:00";1.8741258741258742;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:02:00+07:00";1.8797197539245443;416.16;0.006746081469627561;0;0;0;0;0
"2019-04-25T00:03:00+07:00";1.8769230769230767;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:04:00+07:00";1.8797187023339563;416.16;0.006746077695599137;0;0;0;0;0
"2019-04-25T00:05:00+07:00";1.882516955939313;416.16;0.006746081469627561;0;0;0;0;0
"2019-04-25T00:06:00+07:00";1.8825111635988911;416.16;0.006746060712523482;0;0;0;0;0
"2019-04-25T00:07:00+07:00";1.882516955939313;416.16;0.006746081469627561;0;0;0;0;0
"2019-04-25T00:08:00+07:00";1.8853146853146854;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:09:00+07:00";1.8881118881118883;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:10:00+07:00";1.882515902783858;416.16;0.006746077695599137;0;0;0;0;0
"2019-04-25T00:11:00+07:00";1.882515902783858;416.16;0.006746077695599137;0;0;0;0;0
"2019-04-25T00:12:00+07:00";1.8825174825174826;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:13:00+07:00";1.885315212675584;416.16;0.006746085243660208;0;0;0;0;0
"2019-04-25T00:14:00+07:00";1.8881113599688502;416.16;0.006746081469627561;0;0;0;0;0
"2019-04-25T00:15:00+07:00";1.8853146853146854;416.16;0.006746083356643357;0;0;0;0;0
"2019-04-25T00:16:00+07:00";1.885315212675584;416.16;0.006746085243660208;0;0;0;0;0
"2019-04-25T00:17:00+07:00";1.882518535674705;416.16;0.003519697633397277;0;0;0;0;0
"2019-04-25T00:18:00+07:00";1.885315212675584;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:19:00+07:00";1.8853141579540817;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:20:00+07:00";1.8853146853146854;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:21:00+07:00";1.8881113599688502;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:22:00+07:00";1.8909090909090913;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:23:00+07:00";1.8881118881118883;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:24:00+07:00";1.8881113599688502;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:25:00+07:00";1.8909085619836192;416.16;0.0061594656896599475;0;0;0;0;0
"2019-04-25T00:26:00+07:00";1.8881113599688506;416.16;0.0061594656896599475;0;0;0;0;0
"2019-04-25T00:27:00+07:00";1.8881108318261082;416.16;0.0061594639667334455;0;0;0;0;0
"2019-04-25T00:28:00+07:00";1.8909075041335632;416.16;0.006159462243807908;0;0;0;0;0
"2019-04-25T00:29:00+07:00";1.885315212675584;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:30:00+07:00";1.8853141579540817;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:31:00+07:00";1.8881118881118883;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:32:00+07:00";1.8881113599688502;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:33:00+07:00";1.8853146853146854;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:34:00+07:00";1.8881113599688502;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:35:00+07:00";1.8909090909090913;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:36:00+07:00";1.890909619834859;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:37:00+07:00";1.885315212675584;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:38:00+07:00";1.882518009095947;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:39:00+07:00";1.8937062937062938;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:40:00+07:00";1.890909619834859;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:41:00+07:00";1.8909175537568839;416.16;0.006159494979557949;0;0;0;0;0
"2019-04-25T00:42:00+07:00";1.890909619834859;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:43:00+07:00";1.8937062937062938;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:44:00+07:00";1.8993006993006996;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:45:00+07:00";1.8965040269941336;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:46:00+07:00";1.8993006993006996;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:47:00+07:00";1.8965034965034968;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:48:00+07:00";1.8993006993006996;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:49:00+07:00";1.9020984341534082;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:50:00+07:00";1.9020984341534082;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T00:51:00+07:00";1.8993006993006996;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:52:00+07:00";1.9020979020979025;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:53:00+07:00";1.9020979020979025;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:54:00+07:00";1.9048945720574622;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:55:00+07:00";1.8937057639983876;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T00:56:00+07:00";1.8937062937062938;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:57:00+07:00";1.8993006993006996;416.176;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:58:00+07:00";1.8965034965034968;416.176;0.006159467412587413;0;0;0;0;0
"2019-04-25T00:59:00+07:00";1.8965034965034968;416.176;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:00:00+07:00";1.8965029660131563;416.176;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:01:00+07:00";1.8965029660131563;416.176;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:02:00+07:00";1.8938058840576792;416.16;0.006159791340076065;0;0;0;0;0
"2019-04-25T01:03:00+07:00";1.8965029660131563;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:04:00+07:00";1.8993756117374139;416.16;0.006159710355009805;0;0;0;0;0
"2019-04-25T01:05:00+07:00";1.899301230573771;416.16;0.006159469135515843;0;0;0;0;0
"2019-04-25T01:06:00+07:00";1.9020989662092118;416.16;0.006159470858445234;0;0;0;0;0
"2019-04-25T01:07:00+07:00";1.8993028243947685;416.16;0.006159474304306913;0;0;0;0;0
"2019-04-25T01:08:00+07:00";1.8965034965034968;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:09:00+07:00";1.904895104895105;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:10:00+07:00";1.9020979020979025;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:11:00+07:00";1.9020979020979025;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:12:00+07:00";1.9048945720574622;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:13:00+07:00";1.9048945720574622;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:14:00+07:00";1.9020973700426935;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:15:00+07:00";1.907691774072231;416.16;0.006159465689659947;0;0;0;0;0
"2019-04-25T01:16:00+07:00";1.907692307692308;416.16;0.006159467412587413;0;0;0;0;0
"2019-04-25T01:17:00+07:00";1.899301230573771;416.16;0.0032263885947940124;0;0;0;0;0
"2019-04-25T01:18:00+07:00";1.9048956377330453;416.184;0.0061594691355158415;0;0;0;0;0
"2019-04-25T01:19:00+07:00";1.9216793967437185;416.308;0.009972476627958953;0;0.0008593011800286321;0;0.0009331473751873427;0
"2019-04-25T01:20:00+07:00";1.9216793967437185;416.308;0.01378548239747267;0;0.0008593011800286321;0;0.0009331473751873427;0
"2019-04-25T01:21:00+07:00";1.9244749861608428;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
"2019-04-25T01:22:00+07:00";1.9244755244755247;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:23:00+07:00";1.9300699300699302;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:24:00+07:00";1.9300704699497822;416.308;0.01466540270360915;0;0.0008593009396645986;0;0.0009331471141670251;0
"2019-04-25T01:25:00+07:00";1.9300699300699302;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:26:00+07:00";1.9272721881756114;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
"2019-04-25T01:27:00+07:00";1.9328682141920077;416.308;0.01466540680582199;0;0.0008593011800286321;0;0.0009331473751873427;0
"2019-04-25T01:28:00+07:00";1.9328671328671332;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:29:00+07:00";1.9328676735294192;416.308;0.01466540270360915;0;0.0008593009396645986;0;0.0009331471141670251;0
"2019-04-25T01:30:00+07:00";1.9328665922051487;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
"2019-04-25T01:31:00+07:00";1.9272727272727275;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:32:00+07:00";1.930068850311133;416.308;0.014665390396984394;0;0.0008593002185733043;0;0.0009331463311069478;0
"2019-04-25T01:33:00+07:00";1.935664335664336;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:34:00+07:00";1.9356648771090568;416.308;0.01466540270360915;0;0.0008593009396645986;0;0.0009331471141670251;0
"2019-04-25T01:35:00+07:00";1.9300704699497822;416.308;0.01466540270360915;0;0.0008593009396645986;0;0.0009331471141670251;0
"2019-04-25T01:36:00+07:00";1.9328671328671332;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:37:00+07:00";1.9328671328671332;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:38:00+07:00";1.9356637942199177;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
"2019-04-25T01:39:00+07:00";1.9328671328671332;416.308;0.014665398601398602;0;0.0008593006993006994;0;0.0009331468531468532;0
"2019-04-25T01:40:00+07:00";1.9356654185540803;416.308;0.01466540680582199;0;0.0008593011800286321;0;0.0009331473751873427;0
"2019-04-25T01:41:00+07:00";1.9328665922051487;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
"2019-04-25T01:42:00+07:00";1.9272721881756114;416.308;0.014665394499190349;0;0.0008593004589369345;0;0.0009331465921268273;0
