sep=;
"Time";"CPU_USAGE";"MEMORY_USAGE";"Disk_write";"Disk_read";"TX_total";"TX_total";"TX_error";"TX_error";"RX_total";"RX_total";"RX_error";"RX_error"
"2019-03-23T19:16:00+07:00";9.781818181818181;1535340;39470.54545454545;0;30.370909090909088;0;0;0;3761.250909090909;0;0;0
"2019-03-23T19:18:00+07:00";9.858181818181817;1535712;40394.00727272727;759.6218181818182;22.98181818181818;2.036363636363636;0;0;3718.341818181818;0;0;0
"2019-03-23T19:20:00+07:00";9.549090909090909;1540976;39634.38545454545;759.6218181818182;13.905454545454544;2.036363636363636;0;0;3705.687272727272;0;0;0
"2019-03-23T19:22:00+07:00";9.869090909090907;1541640;42181.35272727272;0;26.12363636363636;0;0;0;3817.0472727272722;0;0;0
"2019-03-23T19:24:00+07:00";9.858181818181817;1541728;40542.95272727272;476.6254545454545;30.487272727272728;0;0;0;3747.636363636363;0;0;0
"2019-03-23T19:26:00+07:00";9.938181818181818;1537312;39962.06545454545;476.6254545454545;63.88363636363636;0;0;0;3460.2472727272725;0;0;0
"2019-03-23T19:28:00+07:00";10.06181818181818;1537452;39828.01454545454;0;55.21454545454545;0;0;0;3519.2145454545453;0;0;0
"2019-03-23T19:30:00+07:00";10.247272727272726;1537416;40885.527272727275;0;46.312727272727265;0;0;0;3890.996363636363;0;0;0
"2019-03-23T19:32:00+07:00";9.84;1538160;40736.58181818182;0;11.229090909090909;0;0;0;4302.225454545454;0;0;0
"2019-03-23T19:34:00+07:00";9.76;1538312;39932.27636363636;0;13.294545454545453;0;0;0;4477.556363636363;0;0;0
"2019-03-23T19:36:00+07:00";9.705454545454543;1538716;38949.23636363636;0;20.014545454545452;0;0;0;4145.221818181818;0;0;0
"2019-03-23T19:38:00+07:00";9.883636363636363;1538908;39574.807272727274;0;22.31272727272727;0;0;0;3989.76;0;0;0
"2019-03-23T19:40:00+07:00";10.149090909090908;1539060;40870.63272727272;0;16.23272727272727;0;0;0;3819.956363636363;0;0;0
"2019-03-23T19:42:00+07:00";10.214545454545455;1539212;41213.207272727275;327.68;19.025454545454544;0;0;0;3747.374545454545;0;0;0
